Pair.Name	Ligand.ApprovedSymbol	Ligand.Name	Receptor.ApprovedSymbol	Receptor.Name	DLRP	HPMR	IUPHAR	HPRD	STRING.binding	STRING.experiment	HPMR.Ligand	HPMR.Receptor	PMID.Manual	Pair.Source	Pair.Evidence
ADM2_RAMP1	ADM2	adrenomedullin 2	RAMP1	receptor (G protein-coupled) activity modifying protein 1		HPMR					ADM2	RAMP1		known	literature supported
ADM_CALCR	ADM	adrenomedullin	CALCR	calcitonin receptor			IUPHAR				ADM	CALCR		known	literature supported
ADM_CALCRL	ADM	adrenomedullin	CALCRL	calcitonin receptor-like		HPMR		HPRD			ADM	CALCRL		known	literature supported
ADM_GPR182	ADM	adrenomedullin	GPR182	G protein-coupled receptor 182		HPMR					ADM	ADMR		known	literature supported
ADM_MRGPRX2	ADM	adrenomedullin	MRGPRX2	MAS-related GPR, member X2		HPMR	IUPHAR				ADM	MRGPRX2		known	literature supported
ADM_RAMP2	ADM	adrenomedullin	RAMP2	receptor (G protein-coupled) activity modifying protein 2		HPMR					ADM	RAMP2		known	literature supported
AGRN_ATP1A3	AGRN	agrin	ATP1A3	ATPase, Na+/K+ transporting, alpha 3 polypeptide					STRING.binding				16630822	novel	literature supported
AGRN_LRP4	AGRN	agrin	LRP4	low density lipoprotein receptor-related protein 4									18848351	novel	literature supported
AGRN_MUSK	AGRN	agrin	MUSK	muscle, skeletal, receptor tyrosine kinase		HPMR						MUSK		known	literature supported
AGRP_MC3R	AGRP	agouti related protein homolog (mouse)	MC3R	melanocortin 3 receptor		HPMR	IUPHAR	HPRD	STRING.binding		AGRP	MC3R		known	literature supported
AGRP_MC4R	AGRP	agouti related protein homolog (mouse)	MC4R	melanocortin 4 receptor		HPMR	IUPHAR	HPRD	STRING.binding	STRING.experiment	AGRP	MC4R		known	literature supported
AGRP_MC5R	AGRP	agouti related protein homolog (mouse)	MC5R	melanocortin 5 receptor			IUPHAR	HPRD			AGRP	MC5R		known	literature supported
AGRP_SDC3	AGRP	agouti related protein homolog (mouse)	SDC3	syndecan 3					STRING.binding		AGRP	SDC3	11461706	novel	literature supported
AGT_AGTR1	AGT	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	AGTR1	angiotensin II receptor, type 1		HPMR	IUPHAR	HPRD			AGT	AGTR1		known	literature supported
AGT_AGTR2	AGT	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	AGTR2	angiotensin II receptor, type 2		HPMR	IUPHAR	HPRD			AGT	AGTR2		known	literature supported
AGT_LRP2	AGT	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	LRP2	low density lipoprotein receptor-related protein 2		HPMR					AGT	LRP2		known	literature supported
AGT_MAS1	AGT	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	MAS1	MAS1 oncogene		HPMR		HPRD			AGT	MAS1		known	literature supported
AHSG_INSR	AHSG	alpha-2-HS-glycoprotein	INSR	insulin receptor				HPRD				INSR		novel	literature supported
ALB_LRP2	ALB	albumin	LRP2	low density lipoprotein receptor-related protein 2				HPRD	STRING.binding		ALB	LRP2		novel	literature supported
ALOX5AP_ALOX5	ALOX5AP	arachidonate 5-lipoxygenase-activating protein	ALOX5	arachidonate 5-lipoxygenase			IUPHAR	HPRD	STRING.binding					known	EXCLUDED not receptor
AMELX_LAMP1	AMELX	amelogenin, X-linked	LAMP1	lysosomal-associated membrane protein 1									20382373	novel	literature supported
AMELY_LAMP1	AMELY	amelogenin, Y-linked	LAMP1	lysosomal-associated membrane protein 1									20382373	novel	literature supported
AMH_ACVR1	AMH	anti-Mullerian hormone	ACVR1	activin A receptor, type I					STRING.binding		AMH	ACVR1	14656470	novel	literature supported
AMH_AMHR2	AMH	anti-Mullerian hormone	AMHR2	anti-Mullerian hormone receptor, type II	DLRP	HPMR		HPRD	STRING.binding		AMH	AMHR2		known	literature supported
AMH_EGFR	AMH	anti-Mullerian hormone	EGFR	epidermal growth factor receptor				HPRD			AMH	EGFR		novel	literature supported
ANGPT1_ITGA5	ANGPT1	angiopoietin 1	ITGA5	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)				HPRD	STRING.binding		ANGPT1	ITGA5		novel	literature supported
ANGPT1_ITGB1	ANGPT1	angiopoietin 1	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)					STRING.binding		ANGPT1	ITGB1		novel	putative
ANGPT1_TEK	ANGPT1	angiopoietin 1	TEK	TEK tyrosine kinase, endothelial	DLRP	HPMR	IUPHAR	HPRD	STRING.binding	STRING.experiment	ANGPT1	TEK		known	literature supported
ANGPT1_TIE1	ANGPT1	angiopoietin 1	TIE1	tyrosine kinase with immunoglobulin-like and EGF-like domains 1		HPMR					ANGPT1	TIE1		known	literature supported
ANGPT2_TEK	ANGPT2	angiopoietin 2	TEK	TEK tyrosine kinase, endothelial	DLRP	HPMR		HPRD	STRING.binding	STRING.experiment	ANGPT2	TEK		known	literature supported
ANGPT2_TIE1	ANGPT2	angiopoietin 2	TIE1	tyrosine kinase with immunoglobulin-like and EGF-like domains 1					STRING.binding	STRING.experiment	ANGPT2	TIE1		novel	putative
ANGPT4_TEK	ANGPT4	angiopoietin 4	TEK	TEK tyrosine kinase, endothelial			IUPHAR	HPRD	STRING.binding	STRING.experiment		TEK		known	literature supported
ANGPT4_TIE1	ANGPT4	angiopoietin 4	TIE1	tyrosine kinase with immunoglobulin-like and EGF-like domains 1					STRING.binding	STRING.experiment		TIE1		novel	putative
ANGPTL1_TEK	ANGPTL1	angiopoietin-like 1	TEK	TEK tyrosine kinase, endothelial	DLRP			HPRD				TEK		known	literature supported
ANGPTL2_TIE1	ANGPTL2	angiopoietin-like 2	TIE1	tyrosine kinase with immunoglobulin-like and EGF-like domains 1					STRING.binding			TIE1		novel	putative
ANGPTL3_ITGA5	ANGPTL3	angiopoietin-like 3	ITGA5	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)				HPRD				ITGA5		novel	literature supported
ANGPTL3_ITGAV	ANGPTL3	angiopoietin-like 3	ITGAV	integrin, alpha V				HPRD	STRING.binding			ITGAV		novel	literature supported
ANGPTL3_ITGB3	ANGPTL3	angiopoietin-like 3	ITGB3	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)				HPRD				ITGB3		novel	literature supported
ANGPTL4_TIE1	ANGPTL4	angiopoietin-like 4	TIE1	tyrosine kinase with immunoglobulin-like and EGF-like domains 1					STRING.binding		ANGPTL4	TIE1		novel	putative
ANXA1_DYSF	ANXA1	annexin A1	DYSF	dysferlin				HPRD	STRING.binding		ANXA1			novel	literature supported
ANXA1_EGFR	ANXA1	annexin A1	EGFR	epidermal growth factor receptor				HPRD	STRING.binding		ANXA1	EGFR		novel	literature supported
ANXA1_FPR1	ANXA1	annexin A1	FPR1	formyl peptide receptor 1		HPMR	IUPHAR	HPRD			ANXA1	FPR1		known	literature supported
ANXA1_FPR2	ANXA1	annexin A1	FPR2	formyl peptide receptor 2			IUPHAR		STRING.binding		ANXA1	FPRL1		known	literature supported
ANXA1_FPR3	ANXA1	annexin A1	FPR3	formyl peptide receptor 3			IUPHAR		STRING.binding		ANXA1	FPRL2		known	literature supported
APLN_APLNR	APLN	apelin	APLNR	apelin receptor		HPMR	IUPHAR	HPRD	STRING.binding		APLN	AGTRL1		known	literature supported
APOB_CALCR	APOB	apolipoprotein B	CALCR	calcitonin receptor					STRING.binding	STRING.experiment	APOB	CALCR		novel	putative
APOB_ITGAM	APOB	apolipoprotein B	ITGAM	integrin, alpha M (complement component 3 receptor 3 subunit)					STRING.binding		APOB	ITGAM		novel	putative
APOB_ITGB2	APOB	apolipoprotein B	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)					STRING.binding		APOB	ITGB2		novel	putative
APOB_LDLR	APOB	apolipoprotein B	LDLR	low density lipoprotein receptor		HPMR		HPRD	STRING.binding		APOB	LDLR		known	literature supported
APOB_LRP2	APOB	apolipoprotein B	LRP2	low density lipoprotein receptor-related protein 2				HPRD			APOB	LRP2		novel	literature supported
APOB_LRP6	APOB	apolipoprotein B	LRP6	low density lipoprotein receptor-related protein 6					STRING.binding		APOB	LRP6		novel	putative
APOB_LRP8	APOB	apolipoprotein B	LRP8	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor					STRING.binding		APOB	LRP8		novel	putative
APOB_LSR	APOB	apolipoprotein B	LSR	lipolysis stimulated lipoprotein receptor					STRING.binding		APOB		7615497	novel	literature supported
APOB_OLR1	APOB	apolipoprotein B	OLR1	oxidized low density lipoprotein (lectin-like) receptor 1					STRING.binding		APOB	OLR1	9763524	novel	literature supported
APOC3_SDC2	APOC3	apolipoprotein C-III	SDC2	syndecan 2					STRING.binding		APOC3	SDC2		novel	putative
APOC3_TLR2	APOC3	apolipoprotein C-III	TLR2	toll-like receptor 2					STRING.binding		APOC3	TLR2		novel	putative
APOD_LEPR	APOD	apolipoprotein D	LEPR	leptin receptor				HPRD	STRING.binding			LEPR		novel	literature supported
APOE_CHRNA4	APOE	apolipoprotein E	CHRNA4	cholinergic receptor, nicotinic, alpha 4 (neuronal)					STRING.binding		APOE			novel	putative
APOE_LDLR	APOE	apolipoprotein E	LDLR	low density lipoprotein receptor		HPMR		HPRD	STRING.binding		APOE	LDLR		known	literature supported
APOE_LRP1	APOE	apolipoprotein E	LRP1	low density lipoprotein receptor-related protein 1				HPRD	STRING.binding	STRING.experiment	APOE	LRP1		novel	literature supported
APOE_LRP2	APOE	apolipoprotein E	LRP2	low density lipoprotein receptor-related protein 2				HPRD		STRING.experiment	APOE	LRP2		novel	literature supported
APOE_LRP5	APOE	apolipoprotein E	LRP5	low density lipoprotein receptor-related protein 5		HPMR			STRING.binding		APOE	LRP5		known	literature supported
APOE_LRP8	APOE	apolipoprotein E	LRP8	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor		HPMR		HPRD	STRING.binding	STRING.experiment	APOE	LRP8		known	literature supported
APOE_SCARB1	APOE	apolipoprotein E	SCARB1	scavenger receptor class B, member 1				HPRD	STRING.binding		APOE	SCARB1		novel	literature supported
APOE_SORL1	APOE	apolipoprotein E	SORL1	sortilin-related receptor, L(DLR class) A repeats containing		HPMR					APOE	SORL1		known	literature supported
APOE_VLDLR	APOE	apolipoprotein E	VLDLR	very low density lipoprotein receptor		HPMR		HPRD	STRING.binding	STRING.experiment	APOE	VLDLR		known	literature supported
APP_CAV1	APP	amyloid beta (A4) precursor protein	CAV1	caveolin 1, caveolae protein, 22kDa				HPRD						novel	literature supported
APP_CD74	APP	amyloid beta (A4) precursor protein	CD74	CD74 molecule, major histocompatibility complex, class II invariant chain									19849849	novel	literature supported
APP_FPR2	APP	amyloid beta (A4) precursor protein	FPR2	formyl peptide receptor 2			IUPHAR		STRING.binding			FPRL1		known	literature supported
APP_GPC1	APP	amyloid beta (A4) precursor protein	GPC1	glypican 1				HPRD	STRING.binding			GPC1		novel	literature supported
APP_LRP1	APP	amyloid beta (A4) precursor protein	LRP1	low density lipoprotein receptor-related protein 1				HPRD		STRING.experiment		LRP1		novel	literature supported
APP_NCSTN	APP	amyloid beta (A4) precursor protein	NCSTN	nicastrin				HPRD				NCSTN		novel	literature supported
APP_NGFR	APP	amyloid beta (A4) precursor protein	NGFR	nerve growth factor receptor					STRING.binding			NGFR		novel	putative
APP_SLC45A3	APP	amyloid beta (A4) precursor protein	SLC45A3	solute carrier family 45, member 3					STRING.binding					novel	putative
APP_TNFRSF21	APP	amyloid beta (A4) precursor protein	TNFRSF21	tumor necrosis factor receptor superfamily, member 21					STRING.binding			TNFRSF21	19225519	novel	literature supported
AREGB_EGFR	AREGB	amphiregulin B	EGFR	epidermal growth factor receptor			IUPHAR					EGFR		known	literature supported
AREGB_ERBB3	AREGB	amphiregulin B	ERBB3	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3					STRING.binding			ERBB3		novel	putative
AREG_EGFR	AREG	amphiregulin	EGFR	epidermal growth factor receptor	DLRP	HPMR	IUPHAR	HPRD			AREG	EGFR		known	literature supported
AREG_ERBB3	AREG	amphiregulin	ERBB3	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3					STRING.binding		AREG	ERBB3	8702723	novel	literature supported
ARF1_CHRM3	ARF1	ADP-ribosylation factor 1	CHRM3	cholinergic receptor, muscarinic 3				HPRD				CHRM3		novel	literature supported
ARF1_INSR	ARF1	ADP-ribosylation factor 1	INSR	insulin receptor				HPRD				INSR		novel	literature supported
ARF1_PLD2	ARF1	ADP-ribosylation factor 1	PLD2	phospholipase D2			IUPHAR	HPRD	STRING.binding	STRING.experiment				known	literature supported
ARTN_GFRA1	ARTN	artemin	GFRA1	GDNF family receptor alpha 1					STRING.binding		ARTN	GFRA1	9883723	novel	literature supported
ARTN_GFRA3	ARTN	artemin	GFRA3	GDNF family receptor alpha 3		HPMR		HPRD	STRING.binding	STRING.experiment	ARTN	GFRA3		known	literature supported
ARTN_RET	ARTN	artemin	RET	ret proto-oncogene		HPMR					ARTN	RET		known	literature supported
ASIP_ATRN	ASIP	agouti signaling protein	ATRN	attractin		HPMR					ASIP	ATRN		known	literature supported
ASIP_F11R	ASIP	agouti signaling protein	F11R	F11 receptor				HPRD			ASIP			novel	literature supported
ASIP_MC1R	ASIP	agouti signaling protein	MC1R	melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor)		HPMR		HPRD			ASIP	MC1R		known	literature supported
ASIP_MC2R	ASIP	agouti signaling protein	MC2R	melanocortin 2 receptor (adrenocorticotropic hormone)				HPRD			ASIP	MC2R		novel	literature supported
ASIP_MC3R	ASIP	agouti signaling protein	MC3R	melanocortin 3 receptor				HPRD			ASIP	MC3R		novel	literature supported
ASIP_MC4R	ASIP	agouti signaling protein	MC4R	melanocortin 4 receptor				HPRD			ASIP	MC4R		novel	literature supported
ASIP_MC5R	ASIP	agouti signaling protein	MC5R	melanocortin 5 receptor				HPRD			ASIP	MC5R		novel	literature supported
ASIP_MGRN1	ASIP	agouti signaling protein	MGRN1	mahogunin ring finger 1, E3 ubiquitin protein ligase		HPMR					ASIP	MGRN1		known	EXCLUDED not receptor
AVP_AVPR1A	AVP	arginine vasopressin	AVPR1A	arginine vasopressin receptor 1A		HPMR	IUPHAR	HPRD			AVP	AVPR1A		known	literature supported
AVP_AVPR1B	AVP	arginine vasopressin	AVPR1B	arginine vasopressin receptor 1B		HPMR	IUPHAR	HPRD			AVP	AVPR1B		known	literature supported
AVP_AVPR2	AVP	arginine vasopressin	AVPR2	arginine vasopressin receptor 2		HPMR	IUPHAR	HPRD			AVP	AVPR2		known	literature supported
AVP_OXTR	AVP	arginine vasopressin	OXTR	oxytocin receptor			IUPHAR	HPRD			AVP	OXTR		known	literature supported
AZGP1_ITGAV	AZGP1	alpha-2-glycoprotein 1, zinc-binding	ITGAV	integrin, alpha V				HPRD				ITGAV		novel	literature supported
B2M_CD1A	B2M	beta-2-microglobulin	CD1A	CD1a molecule				HPRD	STRING.binding	STRING.experiment				novel	literature supported
B2M_CD1B	B2M	beta-2-microglobulin	CD1B	CD1b molecule				HPRD	STRING.binding	STRING.experiment				novel	literature supported
B2M_CD247	B2M	beta-2-microglobulin	CD247	CD247 molecule					STRING.binding					novel	putative
B2M_CD3D	B2M	beta-2-microglobulin	CD3D	CD3d molecule, delta (CD3-TCR complex)					STRING.binding					novel	putative
B2M_CD3G	B2M	beta-2-microglobulin	CD3G	CD3g molecule, gamma (CD3-TCR complex)					STRING.binding			CD3G		novel	putative
B2M_HFE	B2M	beta-2-microglobulin	HFE	hemochromatosis				HPRD	STRING.binding	STRING.experiment		HFE		novel	literature supported
B2M_HLA-F	B2M	beta-2-microglobulin	HLA-F	major histocompatibility complex, class I, F				HPRD						novel	literature supported
B2M_KIR2DL1	B2M	beta-2-microglobulin	KIR2DL1	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1					STRING.binding	STRING.experiment		KIR2DL1		novel	putative
B2M_KIR2DL3	B2M	beta-2-microglobulin	KIR2DL3	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3					STRING.binding	STRING.experiment		KIR2DL3		novel	putative
B2M_KIR3DL1	B2M	beta-2-microglobulin	KIR3DL1	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1					STRING.binding	STRING.experiment		KIR3DL1		novel	putative
B2M_KLRC1	B2M	beta-2-microglobulin	KLRC1	killer cell lectin-like receptor subfamily C, member 1					STRING.binding	STRING.experiment		KLRC1		novel	putative
B2M_KLRD1	B2M	beta-2-microglobulin	KLRD1	killer cell lectin-like receptor subfamily D, member 1					STRING.binding	STRING.experiment		KLRD1		novel	putative
B2M_LILRB1	B2M	beta-2-microglobulin	LILRB1	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1				HPRD	STRING.binding	STRING.experiment		LILRB1		novel	literature supported
B2M_LILRB2	B2M	beta-2-microglobulin	LILRB2	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2					STRING.binding	STRING.experiment		LILRB2		novel	putative
B2M_TFRC	B2M	beta-2-microglobulin	TFRC	transferrin receptor					STRING.binding	STRING.experiment		TFRC		novel	putative
BCAN_EGFR	BCAN	brevican	EGFR	epidermal growth factor receptor					STRING.binding			EGFR		novel	putative
BCAN_NRCAM	BCAN	brevican	NRCAM	neuronal cell adhesion molecule					STRING.binding					novel	putative
BDNF_DDR1	BDNF	brain-derived neurotrophic factor	DDR1	discoidin domain receptor tyrosine kinase 1					STRING.binding		BDNF	DDR1		novel	putative
BDNF_DRD4	BDNF	brain-derived neurotrophic factor	DRD4	dopamine receptor D4					STRING.binding		BDNF	DRD4		novel	putative
BDNF_NGFR	BDNF	brain-derived neurotrophic factor	NGFR	nerve growth factor receptor	DLRP		IUPHAR		STRING.binding		BDNF	NGFR		known	literature supported
BDNF_NGFRAP1	BDNF	brain-derived neurotrophic factor	NGFRAP1	nerve growth factor receptor (TNFRSF16) associated protein 1		HPMR					BDNF	NGFRAP1		known	literature supported
BDNF_NTRK2	BDNF	brain-derived neurotrophic factor	NTRK2	neurotrophic tyrosine kinase, receptor, type 2	DLRP	HPMR		HPRD	STRING.binding	STRING.experiment	BDNF	NTRK2		known	literature supported
BDNF_SORT1	BDNF	brain-derived neurotrophic factor	SORT1	sortilin 1				HPRD	STRING.binding	STRING.experiment	BDNF	SORT1		novel	literature supported
BGN_LY96	BGN	biglycan	LY96	lymphocyte antigen 96					STRING.binding			LY96		novel	putative
BGN_TLR1	BGN	biglycan	TLR1	toll-like receptor 1					STRING.binding			TLR1		novel	putative
BGN_TLR2	BGN	biglycan	TLR2	toll-like receptor 2					STRING.binding			TLR2	16025156	novel	literature supported
BGN_TLR4	BGN	biglycan	TLR4	toll-like receptor 4					STRING.binding			TLR4	16025156	novel	literature supported
BMP10_ACVR1	BMP10	bone morphogenetic protein 10	ACVR1	activin A receptor, type I	DLRP						BMP10	ACVR1		known	putative
BMP10_ACVR2A	BMP10	bone morphogenetic protein 10	ACVR2A	activin A receptor, type IIA	DLRP	HPMR					BMP10	ACVR2A		known	literature supported
BMP10_ACVR2B	BMP10	bone morphogenetic protein 10	ACVR2B	activin A receptor, type IIB	DLRP						BMP10	ACVR2B		known	putative
BMP10_ACVRL1	BMP10	bone morphogenetic protein 10	ACVRL1	activin A receptor type II-like 1		HPMR					BMP10	ACVRL1		known	literature supported
BMP10_BMPR1A	BMP10	bone morphogenetic protein 10	BMPR1A	bone morphogenetic protein receptor, type IA	DLRP	HPMR					BMP10	BMPR1A		known	literature supported
BMP10_BMPR1B	BMP10	bone morphogenetic protein 10	BMPR1B	bone morphogenetic protein receptor, type IB	DLRP						BMP10	BMPR1B	16049014	known	literature supported
BMP10_BMPR2	BMP10	bone morphogenetic protein 10	BMPR2	bone morphogenetic protein receptor, type II (serine/threonine kinase)	DLRP	HPMR					BMP10	BMPR2		known	literature supported
BMP10_ENG	BMP10	bone morphogenetic protein 10	ENG	endoglin									21737454	novel	literature supported
BMP15_ACVR1	BMP15	bone morphogenetic protein 15	ACVR1	activin A receptor, type I	DLRP						BMP15	ACVR1		known	putative
BMP15_ACVR2A	BMP15	bone morphogenetic protein 15	ACVR2A	activin A receptor, type IIA	DLRP						BMP15	ACVR2A	2419820	known	literature supported
BMP15_ACVR2B	BMP15	bone morphogenetic protein 15	ACVR2B	activin A receptor, type IIB	DLRP						BMP15	ACVR2B		known	putative
