"","Pair.Name","Ligand.ApprovedSymbol","Ligand.Name","Receptor.ApprovedSymbol","Receptor.Name","Classification"
"21","ADAM23_ITGB3","ADAM23","ADAM metallopeptidase domain 23","ITGB3","integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)","other"
"22","ADAM28_ITGA4","ADAM28","ADAM metallopeptidase domain 28","ITGA4","integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)","other"
"23","ADAM2_CD9","ADAM2","ADAM metallopeptidase domain 2","CD9","CD9 molecule","other"
"24","ADAM2_ITGA6","ADAM2","ADAM metallopeptidase domain 2","ITGA6","integrin, alpha 6","other"
"25","ADAM2_ITGA9","ADAM2","ADAM metallopeptidase domain 2","ITGA9","integrin, alpha 9","other"
"26","ADAM2_ITGB1","ADAM2","ADAM metallopeptidase domain 2","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","other"
"27","ADAM2_ITGB7","ADAM2","ADAM metallopeptidase domain 2","ITGB7","integrin, beta 7","other"
"28","ADAM9_ITGA3","ADAM9","ADAM metallopeptidase domain 9","ITGA3","integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)","other"
"29","ADAM9_ITGA6","ADAM9","ADAM metallopeptidase domain 9","ITGA6","integrin, alpha 6","other"
"30","ADAM9_ITGAV","ADAM9","ADAM metallopeptidase domain 9","ITGAV","integrin, alpha V","other"
"31","ADAM9_ITGB1","ADAM9","ADAM metallopeptidase domain 9","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","other"
"32","ADAM9_ITGB5","ADAM9","ADAM metallopeptidase domain 9","ITGB5","integrin, beta 5","other"
"33","ADCYAP1_ADCYAP1R1","ADCYAP1","adenylate cyclase activating polypeptide 1 (pituitary)","ADCYAP1R1","adenylate cyclase activating polypeptide 1 (pituitary) receptor type I","other"
"34","ADCYAP1_SCTR","ADCYAP1","adenylate cyclase activating polypeptide 1 (pituitary)","SCTR","secretin receptor","other"
"35","ADCYAP1_VIPR1","ADCYAP1","adenylate cyclase activating polypeptide 1 (pituitary)","VIPR1","vasoactive intestinal peptide receptor 1","other"
"36","ADCYAP1_VIPR2","ADCYAP1","adenylate cyclase activating polypeptide 1 (pituitary)","VIPR2","vasoactive intestinal peptide receptor 2","other"
"37","ADIPOQ_ADIPOR1","ADIPOQ","adiponectin, C1Q and collagen domain containing","ADIPOR1","adiponectin receptor 1","other"
"38","ADIPOQ_ADIPOR2","ADIPOQ","adiponectin, C1Q and collagen domain containing","ADIPOR2","adiponectin receptor 2","other"
"39","ADM2_CALCR","ADM2","adrenomedullin 2","CALCR","calcitonin receptor","other"
"40","ADM2_CALCRL","ADM2","adrenomedullin 2","CALCRL","calcitonin receptor-like","other"
"41","ADM2_RAMP1","ADM2","adrenomedullin 2","RAMP1","receptor (G protein-coupled) activity modifying protein 1","other"
"42","ADM_CALCR","ADM","adrenomedullin","CALCR","calcitonin receptor","other"
"43","ADM_CALCRL","ADM","adrenomedullin","CALCRL","calcitonin receptor-like","other"
"44","ADM_GPR182","ADM","adrenomedullin","GPR182","G protein-coupled receptor 182","other"
"45","ADM_MRGPRX2","ADM","adrenomedullin","MRGPRX2","MAS-related GPR, member X2","other"
"46","ADM_RAMP2","ADM","adrenomedullin","RAMP2","receptor (G protein-coupled) activity modifying protein 2","other"
"47","AGRN_ATP1A3","AGRN","agrin","ATP1A3","ATPase, Na+/K+ transporting, alpha 3 polypeptide","other"
"48","AGRN_LRP4","AGRN","agrin","LRP4","low density lipoprotein receptor-related protein 4","other"
"49","AGRN_MUSK","AGRN","agrin","MUSK","muscle, skeletal, receptor tyrosine kinase","other"
"50","AGRP_MC3R","AGRP","agouti related protein homolog (mouse)","MC3R","melanocortin 3 receptor","other"
"51","AGRP_MC4R","AGRP","agouti related protein homolog (mouse)","MC4R","melanocortin 4 receptor","other"
"52","AGRP_MC5R","AGRP","agouti related protein homolog (mouse)","MC5R","melanocortin 5 receptor","other"
"53","AGRP_SDC3","AGRP","agouti related protein homolog (mouse)","SDC3","syndecan 3","other"
"54","AGT_AGTR1","AGT","angiotensinogen (serpin peptidase inhibitor, clade A, member 8)","AGTR1","angiotensin II receptor, type 1","other"
"55","AGT_AGTR2","AGT","angiotensinogen (serpin peptidase inhibitor, clade A, member 8)","AGTR2","angiotensin II receptor, type 2","other"
"56","AGT_LRP2","AGT","angiotensinogen (serpin peptidase inhibitor, clade A, member 8)","LRP2","low density lipoprotein receptor-related protein 2","other"
"57","AGT_MAS1","AGT","angiotensinogen (serpin peptidase inhibitor, clade A, member 8)","MAS1","MAS1 oncogene","other"
"58","AHSG_INSR","AHSG","alpha-2-HS-glycoprotein","INSR","insulin receptor","other"
"59","ALB_LRP2","ALB","albumin","LRP2","low density lipoprotein receptor-related protein 2","other"
"60","ALOX5AP_ALOX5","ALOX5AP","arachidonate 5-lipoxygenase-activating protein","ALOX5","arachidonate 5-lipoxygenase","other"
"61","AMELX_LAMP1","AMELX","amelogenin, X-linked","LAMP1","lysosomal-associated membrane protein 1","other"
"62","AMELY_LAMP1","AMELY","amelogenin, Y-linked","LAMP1","lysosomal-associated membrane protein 1","other"
"63","AMH_ACVR1","AMH","anti-Mullerian hormone","ACVR1","activin A receptor, type I","other"
"64","AMH_AMHR2","AMH","anti-Mullerian hormone","AMHR2","anti-Mullerian hormone receptor, type II","other"
"65","AMH_EGFR","AMH","anti-Mullerian hormone","EGFR","epidermal growth factor receptor","other"
"66","ANGPT1_ITGA5","ANGPT1","angiopoietin 1","ITGA5","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)","other"
"67","ANGPT1_ITGB1","ANGPT1","angiopoietin 1","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","other"
"68","ANGPT1_TEK","ANGPT1","angiopoietin 1","TEK","TEK tyrosine kinase, endothelial","other"
"69","ANGPT1_TIE1","ANGPT1","angiopoietin 1","TIE1","tyrosine kinase with immunoglobulin-like and EGF-like domains 1","other"
"70","ANGPT2_TEK","ANGPT2","angiopoietin 2","TEK","TEK tyrosine kinase, endothelial","other"
"71","ANGPT2_TIE1","ANGPT2","angiopoietin 2","TIE1","tyrosine kinase with immunoglobulin-like and EGF-like domains 1","other"
"72","ANGPT4_TEK","ANGPT4","angiopoietin 4","TEK","TEK tyrosine kinase, endothelial","other"
"73","ANGPT4_TIE1","ANGPT4","angiopoietin 4","TIE1","tyrosine kinase with immunoglobulin-like and EGF-like domains 1","other"
"74","ANGPTL1_TEK","ANGPTL1","angiopoietin-like 1","TEK","TEK tyrosine kinase, endothelial","other"
"75","ANGPTL2_TIE1","ANGPTL2","angiopoietin-like 2","TIE1","tyrosine kinase with immunoglobulin-like and EGF-like domains 1","other"
"76","ANGPTL3_ITGA5","ANGPTL3","angiopoietin-like 3","ITGA5","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)","other"
"77","ANGPTL3_ITGAV","ANGPTL3","angiopoietin-like 3","ITGAV","integrin, alpha V","other"
"78","ANGPTL3_ITGB3","ANGPTL3","angiopoietin-like 3","ITGB3","integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)","other"
"79","ANGPTL4_TIE1","ANGPTL4","angiopoietin-like 4","TIE1","tyrosine kinase with immunoglobulin-like and EGF-like domains 1","other"
"80","ANXA1_DYSF","ANXA1","annexin A1","DYSF","dysferlin","other"
"81","ANXA1_EGFR","ANXA1","annexin A1","EGFR","epidermal growth factor receptor","other"
"82","ANXA1_FPR1","ANXA1","annexin A1","FPR1","formyl peptide receptor 1","other"
"83","ANXA1_FPR2","ANXA1","annexin A1","FPR2","formyl peptide receptor 2","other"
"84","ANXA1_FPR3","ANXA1","annexin A1","FPR3","formyl peptide receptor 3","other"
"85","APLN_APLNR","APLN","apelin","APLNR","apelin receptor","other"
"86","APOB_CALCR","APOB","apolipoprotein B","CALCR","calcitonin receptor","other"
"87","APOB_ITGAM","APOB","apolipoprotein B","ITGAM","integrin, alpha M (complement component 3 receptor 3 subunit)","other"
"88","APOB_ITGB2","APOB","apolipoprotein B","ITGB2","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)","other"
"89","APOB_LDLR","APOB","apolipoprotein B","LDLR","low density lipoprotein receptor","other"
"90","APOB_LRP2","APOB","apolipoprotein B","LRP2","low density lipoprotein receptor-related protein 2","other"
"91","APOB_LRP6","APOB","apolipoprotein B","LRP6","low density lipoprotein receptor-related protein 6","other"
"92","APOB_LRP8","APOB","apolipoprotein B","LRP8","low density lipoprotein receptor-related protein 8, apolipoprotein e receptor","other"
"93","APOB_LSR","APOB","apolipoprotein B","LSR","lipolysis stimulated lipoprotein receptor","other"
"94","APOB_OLR1","APOB","apolipoprotein B","OLR1","oxidized low density lipoprotein (lectin-like) receptor 1","other"
"95","APOC3_SDC2","APOC3","apolipoprotein C-III","SDC2","syndecan 2","other"
"96","APOC3_TLR2","APOC3","apolipoprotein C-III","TLR2","toll-like receptor 2","other"
"97","APOD_LEPR","APOD","apolipoprotein D","LEPR","leptin receptor","other"
"98","APOE_CHRNA4","APOE","apolipoprotein E","CHRNA4","cholinergic receptor, nicotinic, alpha 4 (neuronal)","other"
"99","APOE_LDLR","APOE","apolipoprotein E","LDLR","low density lipoprotein receptor","other"
"100","APOE_LRP1","APOE","apolipoprotein E","LRP1","low density lipoprotein receptor-related protein 1","other"
"101","APOE_LRP2","APOE","apolipoprotein E","LRP2","low density lipoprotein receptor-related protein 2","other"
"102","APOE_LRP5","APOE","apolipoprotein E","LRP5","low density lipoprotein receptor-related protein 5","other"
"103","APOE_LRP8","APOE","apolipoprotein E","LRP8","low density lipoprotein receptor-related protein 8, apolipoprotein e receptor","other"
"104","APOE_SCARB1","APOE","apolipoprotein E","SCARB1","scavenger receptor class B, member 1","other"
"105","APOE_SORL1","APOE","apolipoprotein E","SORL1","sortilin-related receptor, L(DLR class) A repeats containing","other"
"106","APOE_VLDLR","APOE","apolipoprotein E","VLDLR","very low density lipoprotein receptor","other"
"107","APP_CAV1","APP","amyloid beta (A4) precursor protein","CAV1","caveolin 1, caveolae protein, 22kDa","other"
"108","APP_CD74","APP","amyloid beta (A4) precursor protein","CD74","CD74 molecule, major histocompatibility complex, class II invariant chain","other"
"109","APP_FPR2","APP","amyloid beta (A4) precursor protein","FPR2","formyl peptide receptor 2","other"
"110","APP_GPC1","APP","amyloid beta (A4) precursor protein","GPC1","glypican 1","other"
"111","APP_LRP1","APP","amyloid beta (A4) precursor protein","LRP1","low density lipoprotein receptor-related protein 1","other"
"112","APP_NCSTN","APP","amyloid beta (A4) precursor protein","NCSTN","nicastrin","other"
"113","APP_NGFR","APP","amyloid beta (A4) precursor protein","NGFR","nerve growth factor receptor","other"
"114","APP_SLC45A3","APP","amyloid beta (A4) precursor protein","SLC45A3","solute carrier family 45, member 3","other"
"115","APP_TNFRSF21","APP","amyloid beta (A4) precursor protein","TNFRSF21","tumor necrosis factor receptor superfamily, member 21","other"
"116","AREGB_EGFR","AREGB","amphiregulin B","EGFR","epidermal growth factor receptor","other"
"117","AREGB_ERBB3","AREGB","amphiregulin B","ERBB3","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3","other"
"118","AREG_EGFR","AREG","amphiregulin","EGFR","epidermal growth factor receptor","other"
"119","AREG_ERBB3","AREG","amphiregulin","ERBB3","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3","other"
"120","ARF1_CHRM3","ARF1","ADP-ribosylation factor 1","CHRM3","cholinergic receptor, muscarinic 3","other"
"121","ARF1_INSR","ARF1","ADP-ribosylation factor 1","INSR","insulin receptor","other"
"122","ARF1_PLD2","ARF1","ADP-ribosylation factor 1","PLD2","phospholipase D2","other"
"123","ARTN_GFRA1","ARTN","artemin","GFRA1","GDNF family receptor alpha 1","other"
"124","ARTN_GFRA3","ARTN","artemin","GFRA3","GDNF family receptor alpha 3","other"
"125","ARTN_RET","ARTN","artemin","RET","ret proto-oncogene","other"
"126","ASIP_ATRN","ASIP","agouti signaling protein","ATRN","attractin","other"
"127","ASIP_F11R","ASIP","agouti signaling protein","F11R","F11 receptor","other"
"128","ASIP_MC1R","ASIP","agouti signaling protein","MC1R","melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor)","other"
"129","ASIP_MC2R","ASIP","agouti signaling protein","MC2R","melanocortin 2 receptor (adrenocorticotropic hormone)","other"
"130","ASIP_MC3R","ASIP","agouti signaling protein","MC3R","melanocortin 3 receptor","other"
"131","ASIP_MC4R","ASIP","agouti signaling protein","MC4R","melanocortin 4 receptor","other"
"132","ASIP_MC5R","ASIP","agouti signaling protein","MC5R","melanocortin 5 receptor","other"
"133","ASIP_MGRN1","ASIP","agouti signaling protein","MGRN1","mahogunin ring finger 1, E3 ubiquitin protein ligase","other"
"134","AVP_AVPR1A","AVP","arginine vasopressin","AVPR1A","arginine vasopressin receptor 1A","other"
"135","AVP_AVPR1B","AVP","arginine vasopressin","AVPR1B","arginine vasopressin receptor 1B","other"
"136","AVP_AVPR2","AVP","arginine vasopressin","AVPR2","arginine vasopressin receptor 2","other"
"137","AVP_OXTR","AVP","arginine vasopressin","OXTR","oxytocin receptor","other"
"138","AZGP1_ITGAV","AZGP1","alpha-2-glycoprotein 1, zinc-binding","ITGAV","integrin, alpha V","other"
"139","B2M_CD1A","B2M","beta-2-microglobulin","CD1A","CD1a molecule","other"
"140","B2M_CD1B","B2M","beta-2-microglobulin","CD1B","CD1b molecule","other"
"141","B2M_CD247","B2M","beta-2-microglobulin","CD247","CD247 molecule","other"
"142","B2M_CD3D","B2M","beta-2-microglobulin","CD3D","CD3d molecule, delta (CD3-TCR complex)","other"
"143","B2M_CD3G","B2M","beta-2-microglobulin","CD3G","CD3g molecule, gamma (CD3-TCR complex)","other"
"144","B2M_HFE","B2M","beta-2-microglobulin","HFE","hemochromatosis","other"
"145","B2M_HLA-F","B2M","beta-2-microglobulin","HLA-F","major histocompatibility complex, class I, F","other"
"146","B2M_KIR2DL1","B2M","beta-2-microglobulin","KIR2DL1","killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1","other"
"147","B2M_KIR2DL3","B2M","beta-2-microglobulin","KIR2DL3","killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3","other"
"148","B2M_KIR3DL1","B2M","beta-2-microglobulin","KIR3DL1","killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1","other"
"149","B2M_KLRC1","B2M","beta-2-microglobulin","KLRC1","killer cell lectin-like receptor subfamily C, member 1","other"
"150","B2M_KLRD1","B2M","beta-2-microglobulin","KLRD1","killer cell lectin-like receptor subfamily D, member 1","other"
"151","B2M_LILRB1","B2M","beta-2-microglobulin","LILRB1","leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1","other"
"152","B2M_LILRB2","B2M","beta-2-microglobulin","LILRB2","leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2","other"
"153","B2M_TFRC","B2M","beta-2-microglobulin","TFRC","transferrin receptor","other"
"154","BCAN_EGFR","BCAN","brevican","EGFR","epidermal growth factor receptor","other"
"155","BCAN_NRCAM","BCAN","brevican","NRCAM","neuronal cell adhesion molecule","other"
"156","BDNF_DDR1","BDNF","brain-derived neurotrophic factor","DDR1","discoidin domain receptor tyrosine kinase 1","other"
"157","BDNF_DRD4","BDNF","brain-derived neurotrophic factor","DRD4","dopamine receptor D4","other"
"158","BDNF_NGFR","BDNF","brain-derived neurotrophic factor","NGFR","nerve growth factor receptor","other"
"159","BDNF_NGFRAP1","BDNF","brain-derived neurotrophic factor","NGFRAP1","nerve growth factor receptor (TNFRSF16) associated protein 1","other"
"160","BDNF_NTRK2","BDNF","brain-derived neurotrophic factor","NTRK2","neurotrophic tyrosine kinase, receptor, type 2","other"
"161","BDNF_SORT1","BDNF","brain-derived neurotrophic factor","SORT1","sortilin 1","other"
"162","BGN_LY96","BGN","biglycan","LY96","lymphocyte antigen 96","other"
"163","BGN_TLR1","BGN","biglycan","TLR1","toll-like receptor 1","other"
"164","BGN_TLR2","BGN","biglycan","TLR2","toll-like receptor 2","other"
"165","BGN_TLR4","BGN","biglycan","TLR4","toll-like receptor 4","other"
"166","BMP10_ACVR1","BMP10","bone morphogenetic protein 10","ACVR1","activin A receptor, type I","other"
"167","BMP10_ACVR2A","BMP10","bone morphogenetic protein 10","ACVR2A","activin A receptor, type IIA","other"
"168","BMP10_ACVR2B","BMP10","bone morphogenetic protein 10","ACVR2B","activin A receptor, type IIB","other"
"169","BMP10_ACVRL1","BMP10","bone morphogenetic protein 10","ACVRL1","activin A receptor type II-like 1","other"
"170","BMP10_BMPR1A","BMP10","bone morphogenetic protein 10","BMPR1A","bone morphogenetic protein receptor, type IA","other"
"171","BMP10_BMPR1B","BMP10","bone morphogenetic protein 10","BMPR1B","bone morphogenetic protein receptor, type IB","other"
"172","BMP10_BMPR2","BMP10","bone morphogenetic protein 10","BMPR2","bone morphogenetic protein receptor, type II (serine/threonine kinase)","other"
"173","BMP10_ENG","BMP10","bone morphogenetic protein 10","ENG","endoglin","other"
"174","BMP15_ACVR1","BMP15","bone morphogenetic protein 15","ACVR1","activin A receptor, type I","other"
"175","BMP15_ACVR2A","BMP15","bone morphogenetic protein 15","ACVR2A","activin A receptor, type IIA","other"
"176","BMP15_ACVR2B","BMP15","bone morphogenetic protein 15","ACVR2B","activin A receptor, type IIB","other"
"177","BMP15_BMPR1A","BMP15","bone morphogenetic protein 15","BMPR1A","bone morphogenetic protein receptor, type IA","other"
"178","BMP15_BMPR1B","BMP15","bone morphogenetic protein 15","BMPR1B","bone morphogenetic protein receptor, type IB","other"
"179","BMP15_BMPR2","BMP15","bone morphogenetic protein 15","BMPR2","bone morphogenetic protein receptor, type II (serine/threonine kinase)","other"
"180","BMP2_ACVR1","BMP2","bone morphogenetic protein 2","ACVR1","activin A receptor, type I","other"
"181","BMP2_ACVR2A","BMP2","bone morphogenetic protein 2","ACVR2A","activin A receptor, type IIA","other"
"182","BMP2_ACVR2B","BMP2","bone morphogenetic protein 2","ACVR2B","activin A receptor, type IIB","other"
"183","BMP2_BMPR1A","BMP2","bone morphogenetic protein 2","BMPR1A","bone morphogenetic protein receptor, type IA","other"
"184","BMP2_BMPR1B","BMP2","bone morphogenetic protein 2","BMPR1B","bone morphogenetic protein receptor, type IB","other"
"185","BMP2_BMPR2","BMP2","bone morphogenetic protein 2","BMPR2","bone morphogenetic protein receptor, type II (serine/threonine kinase)","other"
"186","BMP2_ENG","BMP2","bone morphogenetic protein 2","ENG","endoglin","other"
"187","BMP2_HFE2","BMP2","bone morphogenetic protein 2","HFE2","hemochromatosis type 2 (juvenile)","other"
"188","BMP3_ACVR1","BMP3","bone morphogenetic protein 3","ACVR1","activin A receptor, type I","other"
"189","BMP3_ACVR2A","BMP3","bone morphogenetic protein 3","ACVR2A","activin A receptor, type IIA","other"
"190","BMP3_ACVR2B","BMP3","bone morphogenetic protein 3","ACVR2B","activin A receptor, type IIB","other"
"191","BMP3_BMPR1A","BMP3","bone morphogenetic protein 3","BMPR1A","bone morphogenetic protein receptor, type IA","other"
"192","BMP3_BMPR1B","BMP3","bone morphogenetic protein 3","BMPR1B","bone morphogenetic protein receptor, type IB","other"
"193","BMP3_BMPR2","BMP3","bone morphogenetic protein 3","BMPR2","bone morphogenetic protein receptor, type II (serine/threonine kinase)","other"
"194","BMP4_ACVR1","BMP4","bone morphogenetic protein 4","ACVR1","activin A receptor, type I","other"
"195","BMP4_ACVR2A","BMP4","bone morphogenetic protein 4","ACVR2A","activin A receptor, type IIA","other"
"196","BMP4_ACVR2B","BMP4","bone morphogenetic protein 4","ACVR2B","activin A receptor, type IIB","other"
"197","BMP4_BMPR1A","BMP4","bone morphogenetic protein 4","BMPR1A","bone morphogenetic protein receptor, type IA","other"
"198","BMP4_BMPR1B","BMP4","bone morphogenetic protein 4","BMPR1B","bone morphogenetic protein receptor, type IB","other"
"199","BMP4_BMPR2","BMP4","bone morphogenetic protein 4","BMPR2","bone morphogenetic protein receptor, type II (serine/threonine kinase)","other"
"200","BMP4_HFE2","BMP4","bone morphogenetic protein 4","HFE2","hemochromatosis type 2 (juvenile)","other"
"201","BMP5_ACVR1","BMP5","bone morphogenetic protein 5","ACVR1","activin A receptor, type I","other"
"202","BMP5_ACVR2A","BMP5","bone morphogenetic protein 5","ACVR2A","activin A receptor, type IIA","other"
"203","BMP5_ACVR2B","BMP5","bone morphogenetic protein 5","ACVR2B","activin A receptor, type IIB","other"
"204","BMP5_BMPR1A","BMP5","bone morphogenetic protein 5","BMPR1A","bone morphogenetic protein receptor, type IA","other"
"205","BMP5_BMPR1B","BMP5","bone morphogenetic protein 5","BMPR1B","bone morphogenetic protein receptor, type IB","other"
"206","BMP5_BMPR2","BMP5","bone morphogenetic protein 5","BMPR2","bone morphogenetic protein receptor, type II (serine/threonine kinase)","other"
"207","BMP5_HFE2","BMP5","bone morphogenetic protein 5","HFE2","hemochromatosis type 2 (juvenile)","other"
"208","BMP6_ACVR1","BMP6","bone morphogenetic protein 6","ACVR1","activin A receptor, type I","other"
"209","BMP6_ACVR2A","BMP6","bone morphogenetic protein 6","ACVR2A","activin A receptor, type IIA","other"
"210","BMP6_ACVR2B","BMP6","bone morphogenetic protein 6","ACVR2B","activin A receptor, type IIB","other"
"211","BMP6_BMPR1A","BMP6","bone morphogenetic protein 6","BMPR1A","bone morphogenetic protein receptor, type IA","other"
"212","BMP6_BMPR1B","BMP6","bone morphogenetic protein 6","BMPR1B","bone morphogenetic protein receptor, type IB","other"
"213","BMP6_BMPR2","BMP6","bone morphogenetic protein 6","BMPR2","bone morphogenetic protein receptor, type II (serine/threonine kinase)","other"
"214","BMP7_ACVR1","BMP7","bone morphogenetic protein 7","ACVR1","activin A receptor, type I","other"
"215","BMP7_ACVR2A","BMP7","bone morphogenetic protein 7","ACVR2A","activin A receptor, type IIA","other"
"216","BMP7_ACVR2B","BMP7","bone morphogenetic protein 7","ACVR2B","activin A receptor, type IIB","other"
"217","BMP7_BMPR1A","BMP7","bone morphogenetic protein 7","BMPR1A","bone morphogenetic protein receptor, type IA","other"
"218","BMP7_BMPR1B","BMP7","bone morphogenetic protein 7","BMPR1B","bone morphogenetic protein receptor, type IB","other"
"219","BMP7_BMPR2","BMP7","bone morphogenetic protein 7","BMPR2","bone morphogenetic protein receptor, type II (serine/threonine kinase)","other"
"220","BMP7_ENG","BMP7","bone morphogenetic protein 7","ENG","endoglin","other"
"221","BMP8B_ACVR1","BMP8B","bone morphogenetic protein 8b","ACVR1","activin A receptor, type I","other"
"222","BMP8B_ACVR2A","BMP8B","bone morphogenetic protein 8b","ACVR2A","activin A receptor, type IIA","other"
"223","BMP8B_ACVR2B","BMP8B","bone morphogenetic protein 8b","ACVR2B","activin A receptor, type IIB","other"
"224","BMP8B_BMPR1A","BMP8B","bone morphogenetic protein 8b","BMPR1A","bone morphogenetic protein receptor, type IA","other"
"225","BMP8B_BMPR1B","BMP8B","bone morphogenetic protein 8b","BMPR1B","bone morphogenetic protein receptor, type IB","other"
"226","BMP8B_BMPR2","BMP8B","bone morphogenetic protein 8b","BMPR2","bone morphogenetic protein receptor, type II (serine/threonine kinase)","other"
"227","BST1_CAV1","BST1","bone marrow stromal cell antigen 1","CAV1","caveolin 1, caveolae protein, 22kDa","other"
"228","BTC_EGFR","BTC","betacellulin","EGFR","epidermal growth factor receptor","other"
"229","BTC_ERBB2","BTC","betacellulin","ERBB2","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2","other"
"230","BTC_ERBB3","BTC","betacellulin","ERBB3","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3","other"
"231","BTC_ERBB4","BTC","betacellulin","ERBB4","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4","other"
"232","BTLA_CD247","BTLA","B and T lymphocyte associated","CD247","CD247 molecule","checkpoint"
"233","BTLA_CD79A","BTLA","B and T lymphocyte associated","CD79A","CD79a molecule, immunoglobulin-associated alpha","checkpoint"
"234","BTLA_TNFRSF14","BTLA","B and T lymphocyte associated","TNFRSF14","tumor necrosis factor receptor superfamily, member 14","checkpoint"
"235","BTLA_VTCN1","BTLA","B and T lymphocyte associated","VTCN1","V-set domain containing T cell activation inhibitor 1","checkpoint"
"236","C1QA_CD93","C1QA","complement component 1, q subcomponent, A chain","CD93","CD93 molecule","other"
"237","C1QA_CR1","C1QA","complement component 1, q subcomponent, A chain","CR1","complement component (3b/4b) receptor 1 (Knops blood group)","other"
"238","C1QA_CSPG4","C1QA","complement component 1, q subcomponent, A chain","CSPG4","chondroitin sulfate proteoglycan 4","other"
"239","C1QB_LRP1","C1QB","complement component 1, q subcomponent, B chain","LRP1","low density lipoprotein receptor-related protein 1","other"
"240","C1QTNF1_AVPR2","C1QTNF1","C1q and tumor necrosis factor related protein 1","AVPR2","arginine vasopressin receptor 2","other"
