interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,evidence,annotation,interaction_name_2,ligand_symbol,receptor_symbol,ligand_ensembl,receptor_ensembl,interaction_symbol,interaction_ensembl
TGFB2_ACVR1_TGFBR1,TGFb,TGFB2,ACVR1_TGFbR,,,,,PMID: 29376829,Secreted Signaling,TGFB2 - (ACVR1+TGFBR1),TGFB2,ACVR1&TGFBR1&TGFBR2,ENSG00000092969,ENSG00000115170&ENSG00000106799&ENSG00000163513,TGFB2^ACVR1&TGFBR1&TGFBR2,ENSG00000092969^ENSG00000115170&ENSG00000106799&ENSG00000163513
TGFB3_ACVR1_TGFBR1,TGFb,TGFB3,ACVR1_TGFbR,,,,,PMID: 29376829,Secreted Signaling,TGFB3 - (ACVR1+TGFBR1),TGFB3,ACVR1&TGFBR1&TGFBR2,ENSG00000119699,ENSG00000115170&ENSG00000106799&ENSG00000163513,TGFB3^ACVR1&TGFBR1&TGFBR2,ENSG00000119699^ENSG00000115170&ENSG00000106799&ENSG00000163513
BMP2_BMPR1A_ACVR2A,BMP,BMP2,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP2 - (BMPR1A+ACVR2A),BMP2,BMPR1A&ACVR2A,ENSG00000125845,ENSG00000107779&ENSG00000121989,BMP2^BMPR1A&ACVR2A,ENSG00000125845^ENSG00000107779&ENSG00000121989
BMP2_BMPR1A_ACVR2B,BMP,BMP2,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893265,Secreted Signaling,BMP2 - (BMPR1A+ACVR2B),BMP2,BMPR1A&ACVR2B,ENSG00000125845,ENSG00000107779&ENSG00000114739,BMP2^BMPR1A&ACVR2B,ENSG00000125845^ENSG00000107779&ENSG00000114739
BMP2_BMPR1A_BMPR2,BMP,BMP2,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893266,Secreted Signaling,BMP2 - (BMPR1A+BMPR2),BMP2,BMPR1A&BMPR2,ENSG00000125845,ENSG00000107779&ENSG00000204217,BMP2^BMPR1A&BMPR2,ENSG00000125845^ENSG00000107779&ENSG00000204217
BMP2_BMPR1B_ACVR2A,BMP,BMP2,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893267,Secreted Signaling,BMP2 - (BMPR1B+ACVR2A),BMP2,BMPR1B&ACVR2A,ENSG00000125845,ENSG00000138696&ENSG00000121989,BMP2^BMPR1B&ACVR2A,ENSG00000125845^ENSG00000138696&ENSG00000121989
BMP2_BMPR1B_ACVR2B,BMP,BMP2,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893268,Secreted Signaling,BMP2 - (BMPR1B+ACVR2B),BMP2,BMPR1B&ACVR2B,ENSG00000125845,ENSG00000138696&ENSG00000114739,BMP2^BMPR1B&ACVR2B,ENSG00000125845^ENSG00000138696&ENSG00000114739
BMP2_BMPR1B_BMPR2,BMP,BMP2,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893269,Secreted Signaling,BMP2 - (BMPR1B+BMPR2),BMP2,BMPR1B&BMPR2,ENSG00000125845,ENSG00000138696&ENSG00000204217,BMP2^BMPR1B&BMPR2,ENSG00000125845^ENSG00000138696&ENSG00000204217
BMP4_BMPR1A_ACVR2A,BMP,BMP4,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893270,Secreted Signaling,BMP4 - (BMPR1A+ACVR2A),BMP4,BMPR1A&ACVR2A,ENSG00000125378,ENSG00000107779&ENSG00000121989,BMP4^BMPR1A&ACVR2A,ENSG00000125378^ENSG00000107779&ENSG00000121989
BMP4_BMPR1A_ACVR2B,BMP,BMP4,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893271,Secreted Signaling,BMP4 - (BMPR1A+ACVR2B),BMP4,BMPR1A&ACVR2B,ENSG00000125378,ENSG00000107779&ENSG00000114739,BMP4^BMPR1A&ACVR2B,ENSG00000125378^ENSG00000107779&ENSG00000114739
BMP4_BMPR1A_BMPR2,BMP,BMP4,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893272,Secreted Signaling,BMP4 - (BMPR1A+BMPR2),BMP4,BMPR1A&BMPR2,ENSG00000125378,ENSG00000107779&ENSG00000204217,BMP4^BMPR1A&BMPR2,ENSG00000125378^ENSG00000107779&ENSG00000204217
BMP4_BMPR1B_ACVR2A,BMP,BMP4,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893273,Secreted Signaling,BMP4 - (BMPR1B+ACVR2A),BMP4,BMPR1B&ACVR2A,ENSG00000125378,ENSG00000138696&ENSG00000121989,BMP4^BMPR1B&ACVR2A,ENSG00000125378^ENSG00000138696&ENSG00000121989
BMP4_BMPR1B_ACVR2B,BMP,BMP4,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893274,Secreted Signaling,BMP4 - (BMPR1B+ACVR2B),BMP4,BMPR1B&ACVR2B,ENSG00000125378,ENSG00000138696&ENSG00000114739,BMP4^BMPR1B&ACVR2B,ENSG00000125378^ENSG00000138696&ENSG00000114739
BMP4_BMPR1B_BMPR2,BMP,BMP4,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893275,Secreted Signaling,BMP4 - (BMPR1B+BMPR2),BMP4,BMPR1B&BMPR2,ENSG00000125378,ENSG00000138696&ENSG00000204217,BMP4^BMPR1B&BMPR2,ENSG00000125378^ENSG00000138696&ENSG00000204217
GDF5_BMPR1A_ACVR2A,BMP,GDF5,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893276,Secreted Signaling,GDF5 - (BMPR1A+ACVR2A),GDF5,BMPR1A&ACVR2A,ENSG00000125965,ENSG00000107779&ENSG00000121989,GDF5^BMPR1A&ACVR2A,ENSG00000125965^ENSG00000107779&ENSG00000121989
GDF5_BMPR1A_ACVR2B,BMP,GDF5,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893277,Secreted Signaling,GDF5 - (BMPR1A+ACVR2B),GDF5,BMPR1A&ACVR2B,ENSG00000125965,ENSG00000107779&ENSG00000114739,GDF5^BMPR1A&ACVR2B,ENSG00000125965^ENSG00000107779&ENSG00000114739
GDF5_BMPR1A_BMPR2,BMP,GDF5,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893278,Secreted Signaling,GDF5 - (BMPR1A+BMPR2),GDF5,BMPR1A&BMPR2,ENSG00000125965,ENSG00000107779&ENSG00000204217,GDF5^BMPR1A&BMPR2,ENSG00000125965^ENSG00000107779&ENSG00000204217
GDF5_BMPR1B_ACVR2A,BMP,GDF5,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893279,Secreted Signaling,GDF5 - (BMPR1B+ACVR2A),GDF5,BMPR1B&ACVR2A,ENSG00000125965,ENSG00000138696&ENSG00000121989,GDF5^BMPR1B&ACVR2A,ENSG00000125965^ENSG00000138696&ENSG00000121989
GDF5_BMPR1B_ACVR2B,BMP,GDF5,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893280,Secreted Signaling,GDF5 - (BMPR1B+ACVR2B),GDF5,BMPR1B&ACVR2B,ENSG00000125965,ENSG00000138696&ENSG00000114739,GDF5^BMPR1B&ACVR2B,ENSG00000125965^ENSG00000138696&ENSG00000114739
GDF5_BMPR1B_BMPR2,BMP,GDF5,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893281,Secreted Signaling,GDF5 - (BMPR1B+BMPR2),GDF5,BMPR1B&BMPR2,ENSG00000125965,ENSG00000138696&ENSG00000204217,GDF5^BMPR1B&BMPR2,ENSG00000125965^ENSG00000138696&ENSG00000204217
GDF6_BMPR1A_ACVR2A,BMP,GDF6,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893282,Secreted Signaling,GDF6 - (BMPR1A+ACVR2A),GDF6,BMPR1A&ACVR2A,ENSG00000156466,ENSG00000107779&ENSG00000121989,GDF6^BMPR1A&ACVR2A,ENSG00000156466^ENSG00000107779&ENSG00000121989
GDF6_BMPR1A_ACVR2B,BMP,GDF6,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893283,Secreted Signaling,GDF6 - (BMPR1A+ACVR2B),GDF6,BMPR1A&ACVR2B,ENSG00000156466,ENSG00000107779&ENSG00000114739,GDF6^BMPR1A&ACVR2B,ENSG00000156466^ENSG00000107779&ENSG00000114739
GDF6_BMPR1A_BMPR2,BMP,GDF6,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893284,Secreted Signaling,GDF6 - (BMPR1A+BMPR2),GDF6,BMPR1A&BMPR2,ENSG00000156466,ENSG00000107779&ENSG00000204217,GDF6^BMPR1A&BMPR2,ENSG00000156466^ENSG00000107779&ENSG00000204217
GDF6_BMPR1B_ACVR2A,BMP,GDF6,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893285,Secreted Signaling,GDF6 - (BMPR1B+ACVR2A),GDF6,BMPR1B&ACVR2A,ENSG00000156466,ENSG00000138696&ENSG00000121989,GDF6^BMPR1B&ACVR2A,ENSG00000156466^ENSG00000138696&ENSG00000121989
GDF6_BMPR1B_ACVR2B,BMP,GDF6,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893286,Secreted Signaling,GDF6 - (BMPR1B+ACVR2B),GDF6,BMPR1B&ACVR2B,ENSG00000156466,ENSG00000138696&ENSG00000114739,GDF6^BMPR1B&ACVR2B,ENSG00000156466^ENSG00000138696&ENSG00000114739
GDF6_BMPR1B_BMPR2,BMP,GDF6,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893287,Secreted Signaling,GDF6 - (BMPR1B+BMPR2),GDF6,BMPR1B&BMPR2,ENSG00000156466,ENSG00000138696&ENSG00000204217,GDF6^BMPR1B&BMPR2,ENSG00000156466^ENSG00000138696&ENSG00000204217
GDF7_BMPR1A_ACVR2A,BMP,GDF7,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893288,Secreted Signaling,GDF7 - (BMPR1A+ACVR2A),GDF7,BMPR1A&ACVR2A,ENSG00000143869,ENSG00000107779&ENSG00000121989,GDF7^BMPR1A&ACVR2A,ENSG00000143869^ENSG00000107779&ENSG00000121989
GDF7_BMPR1A_ACVR2B,BMP,GDF7,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893289,Secreted Signaling,GDF7 - (BMPR1A+ACVR2B),GDF7,BMPR1A&ACVR2B,ENSG00000143869,ENSG00000107779&ENSG00000114739,GDF7^BMPR1A&ACVR2B,ENSG00000143869^ENSG00000107779&ENSG00000114739
GDF7_BMPR1A_BMPR2,BMP,GDF7,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893290,Secreted Signaling,GDF7 - (BMPR1A+BMPR2),GDF7,BMPR1A&BMPR2,ENSG00000143869,ENSG00000107779&ENSG00000204217,GDF7^BMPR1A&BMPR2,ENSG00000143869^ENSG00000107779&ENSG00000204217
GDF7_BMPR1B_ACVR2A,BMP,GDF7,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893291,Secreted Signaling,GDF7 - (BMPR1B+ACVR2A),GDF7,BMPR1B&ACVR2A,ENSG00000143869,ENSG00000138696&ENSG00000121989,GDF7^BMPR1B&ACVR2A,ENSG00000143869^ENSG00000138696&ENSG00000121989
GDF7_BMPR1B_ACVR2B,BMP,GDF7,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893292,Secreted Signaling,GDF7 - (BMPR1B+ACVR2B),GDF7,BMPR1B&ACVR2B,ENSG00000143869,ENSG00000138696&ENSG00000114739,GDF7^BMPR1B&ACVR2B,ENSG00000143869^ENSG00000138696&ENSG00000114739
GDF7_BMPR1B_BMPR2,BMP,GDF7,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893293,Secreted Signaling,GDF7 - (BMPR1B+BMPR2),GDF7,BMPR1B&BMPR2,ENSG00000143869,ENSG00000138696&ENSG00000204217,GDF7^BMPR1B&BMPR2,ENSG00000143869^ENSG00000138696&ENSG00000204217
BMP15_BMPR1B_BMPR2,BMP,BMP15,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893294,Secreted Signaling,BMP15 - (BMPR1B+BMPR2),BMP15,BMPR1B&BMPR2,ENSG00000130385,ENSG00000138696&ENSG00000204217,BMP15^BMPR1B&BMPR2,ENSG00000130385^ENSG00000138696&ENSG00000204217
BMP5_ACVR1_ACVR2A,BMP,BMP5,ACVR1_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893295,Secreted Signaling,BMP5 - (ACVR1+ACVR2A),BMP5,ACVR1&ACVR2A,ENSG00000112175,ENSG00000115170&ENSG00000121989,BMP5^ACVR1&ACVR2A,ENSG00000112175^ENSG00000115170&ENSG00000121989
BMP5_ACVR1_ACVR2B,BMP,BMP5,ACVR1_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893296,Secreted Signaling,BMP5 - (ACVR1+ACVR2B),BMP5,ACVR1&ACVR2B,ENSG00000112175,ENSG00000115170&ENSG00000114739,BMP5^ACVR1&ACVR2B,ENSG00000112175^ENSG00000115170&ENSG00000114739
BMP5_ACVR1_BMPR2,BMP,BMP5,ACVR1_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893297,Secreted Signaling,BMP5 - (ACVR1+BMPR2),BMP5,ACVR1&BMPR2,ENSG00000112175,ENSG00000115170&ENSG00000204217,BMP5^ACVR1&BMPR2,ENSG00000112175^ENSG00000115170&ENSG00000204217
BMP5_BMPR1A_ACVR2A,BMP,BMP5,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893298,Secreted Signaling,BMP5 - (BMPR1A+ACVR2A),BMP5,BMPR1A&ACVR2A,ENSG00000112175,ENSG00000107779&ENSG00000121989,BMP5^BMPR1A&ACVR2A,ENSG00000112175^ENSG00000107779&ENSG00000121989
BMP5_BMPR1A_ACVR2B,BMP,BMP5,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893299,Secreted Signaling,BMP5 - (BMPR1A+ACVR2B),BMP5,BMPR1A&ACVR2B,ENSG00000112175,ENSG00000107779&ENSG00000114739,BMP5^BMPR1A&ACVR2B,ENSG00000112175^ENSG00000107779&ENSG00000114739
BMP5_BMPR1A_BMPR2,BMP,BMP5,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893300,Secreted Signaling,BMP5 - (BMPR1A+BMPR2),BMP5,BMPR1A&BMPR2,ENSG00000112175,ENSG00000107779&ENSG00000204217,BMP5^BMPR1A&BMPR2,ENSG00000112175^ENSG00000107779&ENSG00000204217
BMP5_BMPR1B_ACVR2A,BMP,BMP5,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893301,Secreted Signaling,BMP5 - (BMPR1B+ACVR2A),BMP5,BMPR1B&ACVR2A,ENSG00000112175,ENSG00000138696&ENSG00000121989,BMP5^BMPR1B&ACVR2A,ENSG00000112175^ENSG00000138696&ENSG00000121989
BMP5_BMPR1B_ACVR2B,BMP,BMP5,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893302,Secreted Signaling,BMP5 - (BMPR1B+ACVR2B),BMP5,BMPR1B&ACVR2B,ENSG00000112175,ENSG00000138696&ENSG00000114739,BMP5^BMPR1B&ACVR2B,ENSG00000112175^ENSG00000138696&ENSG00000114739
BMP5_BMPR1B_BMPR2,BMP,BMP5,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893303,Secreted Signaling,BMP5 - (BMPR1B+BMPR2),BMP5,BMPR1B&BMPR2,ENSG00000112175,ENSG00000138696&ENSG00000204217,BMP5^BMPR1B&BMPR2,ENSG00000112175^ENSG00000138696&ENSG00000204217
BMP6_ACVR1_ACVR2A,BMP,BMP6,ACVR1_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893304,Secreted Signaling,BMP6 - (ACVR1+ACVR2A),BMP6,ACVR1&ACVR2A,ENSG00000153162,ENSG00000115170&ENSG00000121989,BMP6^ACVR1&ACVR2A,ENSG00000153162^ENSG00000115170&ENSG00000121989
BMP6_ACVR1_ACVR2B,BMP,BMP6,ACVR1_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893305,Secreted Signaling,BMP6 - (ACVR1+ACVR2B),BMP6,ACVR1&ACVR2B,ENSG00000153162,ENSG00000115170&ENSG00000114739,BMP6^ACVR1&ACVR2B,ENSG00000153162^ENSG00000115170&ENSG00000114739
BMP6_ACVR1_BMPR2,BMP,BMP6,ACVR1_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893306,Secreted Signaling,BMP6 - (ACVR1+BMPR2),BMP6,ACVR1&BMPR2,ENSG00000153162,ENSG00000115170&ENSG00000204217,BMP6^ACVR1&BMPR2,ENSG00000153162^ENSG00000115170&ENSG00000204217
BMP6_BMPR1A_ACVR2A,BMP,BMP6,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893307,Secreted Signaling,BMP6 - (BMPR1A+ACVR2A),BMP6,BMPR1A&ACVR2A,ENSG00000153162,ENSG00000107779&ENSG00000121989,BMP6^BMPR1A&ACVR2A,ENSG00000153162^ENSG00000107779&ENSG00000121989
BMP6_BMPR1A_ACVR2B,BMP,BMP6,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893308,Secreted Signaling,BMP6 - (BMPR1A+ACVR2B),BMP6,BMPR1A&ACVR2B,ENSG00000153162,ENSG00000107779&ENSG00000114739,BMP6^BMPR1A&ACVR2B,ENSG00000153162^ENSG00000107779&ENSG00000114739
BMP6_BMPR1A_BMPR2,BMP,BMP6,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893309,Secreted Signaling,BMP6 - (BMPR1A+BMPR2),BMP6,BMPR1A&BMPR2,ENSG00000153162,ENSG00000107779&ENSG00000204217,BMP6^BMPR1A&BMPR2,ENSG00000153162^ENSG00000107779&ENSG00000204217
BMP6_BMPR1B_ACVR2A,BMP,BMP6,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893310,Secreted Signaling,BMP6 - (BMPR1B+ACVR2A),BMP6,BMPR1B&ACVR2A,ENSG00000153162,ENSG00000138696&ENSG00000121989,BMP6^BMPR1B&ACVR2A,ENSG00000153162^ENSG00000138696&ENSG00000121989
BMP6_BMPR1B_ACVR2B,BMP,BMP6,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893311,Secreted Signaling,BMP6 - (BMPR1B+ACVR2B),BMP6,BMPR1B&ACVR2B,ENSG00000153162,ENSG00000138696&ENSG00000114739,BMP6^BMPR1B&ACVR2B,ENSG00000153162^ENSG00000138696&ENSG00000114739
BMP6_BMPR1B_BMPR2,BMP,BMP6,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893312,Secreted Signaling,BMP6 - (BMPR1B+BMPR2),BMP6,BMPR1B&BMPR2,ENSG00000153162,ENSG00000138696&ENSG00000204217,BMP6^BMPR1B&BMPR2,ENSG00000153162^ENSG00000138696&ENSG00000204217
BMP7_ACVR1_ACVR2A,BMP,BMP7,ACVR1_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893313,Secreted Signaling,BMP7 - (ACVR1+ACVR2A),BMP7,ACVR1&ACVR2A,ENSG00000101144,ENSG00000115170&ENSG00000121989,BMP7^ACVR1&ACVR2A,ENSG00000101144^ENSG00000115170&ENSG00000121989
BMP7_ACVR1_ACVR2B,BMP,BMP7,ACVR1_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893314,Secreted Signaling,BMP7 - (ACVR1+ACVR2B),BMP7,ACVR1&ACVR2B,ENSG00000101144,ENSG00000115170&ENSG00000114739,BMP7^ACVR1&ACVR2B,ENSG00000101144^ENSG00000115170&ENSG00000114739
BMP7_ACVR1_BMPR2,BMP,BMP7,ACVR1_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893315,Secreted Signaling,BMP7 - (ACVR1+BMPR2),BMP7,ACVR1&BMPR2,ENSG00000101144,ENSG00000115170&ENSG00000204217,BMP7^ACVR1&BMPR2,ENSG00000101144^ENSG00000115170&ENSG00000204217
BMP7_BMPR1A_ACVR2A,BMP,BMP7,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893316,Secreted Signaling,BMP7 - (BMPR1A+ACVR2A),BMP7,BMPR1A&ACVR2A,ENSG00000101144,ENSG00000107779&ENSG00000121989,BMP7^BMPR1A&ACVR2A,ENSG00000101144^ENSG00000107779&ENSG00000121989
BMP7_BMPR1A_ACVR2B,BMP,BMP7,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893317,Secreted Signaling,BMP7 - (BMPR1A+ACVR2B),BMP7,BMPR1A&ACVR2B,ENSG00000101144,ENSG00000107779&ENSG00000114739,BMP7^BMPR1A&ACVR2B,ENSG00000101144^ENSG00000107779&ENSG00000114739
BMP7_BMPR1A_BMPR2,BMP,BMP7,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893318,Secreted Signaling,BMP7 - (BMPR1A+BMPR2),BMP7,BMPR1A&BMPR2,ENSG00000101144,ENSG00000107779&ENSG00000204217,BMP7^BMPR1A&BMPR2,ENSG00000101144^ENSG00000107779&ENSG00000204217
