ligand,receptor,source,PMIDs
BMP6,BMPR1B,"HPRD,fantom5,uniprot","10504300,11"
BMP6,BMPR2,"HPRD,uniprot,fantom5",11401330
BMP7,ACVR1,"HPRD,HPMR,fantom5","12297674,8"
BMP7,ACVR2A,"fantom5,HPMR,HPRD","7,790,373,974,822,810,000,000"
BMP7,ACVR2B,"fantom5,HPRD",9748228
BMP7,BMPR1A,"HPMR,fantom5,uniprot,HPRD","1,229,767,477,917,540,000,000"
BMP7,BMPR1B,"fantom5,uniprot,HPMR,HPRD","10631182,86"
BMP7,BMPR2,"HPRD,fantom5,uniprot",7791754
BMP7,ENG,"fantom5,HPRD",9872992
BMP8A,BMPR1A,uniprot,
BMP8A,BMPR1B,uniprot,
BMP8A,BMPR2,uniprot,
BMP8B,BMPR1A,uniprot,
BMP8B,BMPR1B,uniprot,
BMP8B,BMPR2,uniprot,
BST1,CAV1,"HPRD,fantom5",11866528
BTC,EGFR,"HPRD,IUPHAR,cellsignal.com,fantom5,HPMR","8,144,591,953"
BTC,ERBB2,"HPRD,reactome,fantom5,cellsignal.com",9662041
BTC,ERBB3,cellsignal.com,9312020
BTC,ERBB4,"HPRD,fantom5,cellsignal.com,IUPHAR,HPMR","10214951,11"
BTLA,CD247,fantom5,
BTLA,CD79A,fantom5,19155498
BTLA,TNFRSF14,"uniprot,IUPHAR,literature,fantom5,HPRD",22437870
BTLA,VTCN1,"fantom5,HPRD",12796776
C1QA,CD93,"HPRD,fantom5",9476117
C1QA,CR1,"fantom5,HPRD",10528211
C1QA,CSPG4,"HPRD,fantom5",9013976
C1QB,LRP1,fantom5,11560994
C1QTNF1,AVPR2,"HPRD,fantom5",12409230
C1QTNF5,MFRP,"HPRD,fantom5",12944416
C1orf112,PLSCR4,fantom5,
C1orf194,PLSCR4,fantom5,
C3,ADRA2A,reactome,
C3,C3AR1,"HPRD,IUPHAR,fantom5,HPMR","11342658,21"
C3,C5AR2,"HPRD,fantom5",11773063
C3,CD19,fantom5,15454921
C3,CD46,"HPRD,fantom5",1717583
C3,CD81,fantom5,
C3,CR1,"fantom5,HPRD","9,988,761,104"
C3,GRM7,reactome,
C3,IFITM1,fantom5,
C3,ITGAM,"HPRD,fantom5","4,062,888,111"
C3,ITGAX,"HPRD,fantom5,HPMR","4,062,888,751"
C3,ITGB2,"fantom5,HPMR",4062888
C3,LRP1,"HPRD,HPMR,fantom5",10608878
C3,MTNR1A,reactome,
C4A,C3AR1,"HPRD,fantom5",9725198
C4A,C5AR2,"fantom5,HPRD",11773063
C4A,CR1,"HPRD,fantom5",8422437
C4BPA,BMPR2,"HPRD,fantom5",15188402
C4BPA,CD40,fantom5,12818164
C4BPA,LRP1,"HPRD,fantom5",11705989
C4B,CD46,"HPRD,fantom5",1717583
C4B,CR1,"HPRD,fantom5",10528211
C5,ADRA2A,reactome,
C5,C5AR1,"HPMR,IUPHAR,fantom5,HPRD","184,799,410,602,324,000,000,000,000,000,000,000,000,000,000"
C5,C5AR2,"fantom5,IUPHAR,HPMR","11773063,13"
C5,GRM7,reactome,
C5,MTNR1A,reactome,
C6orf15,DDR1,fantom5,
CALCA,ADCYAP1R1,reactome,
CALCA,ADRB2,reactome,
CALCA,ADRB3,reactome,
CALCA,CALCR,"fantom5,IUPHAR,HPMR","215,866,315,692,146,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
CALCA,CALCRL,"HPRD,fantom5,HPMR","9,620,797,862,668,510,000,000,000,000,000,000,000"
CALCA,GPR20,reactome,
CALCA,GPR84,reactome,
CALCA,PTH1R,reactome,
CALCA,RAMP1,"HPRD,fantom5,HPMR","9,620,797,122"
CALCA,RAMP2,"HPRD,reactome,fantom5",16531504
CALCA,RAMP3,reactome,
CALCA,TSHR,reactome,
CALCA,VIPR1,reactome,
CALCB,ADCYAP1R1,reactome,
CALCB,ADRB2,reactome,
CALCB,ADRB3,reactome,
CALCB,CALCR,"fantom5,IUPHAR",15692146
CALCB,CALCRL,"fantom5,HPMR",12196113
CALCB,GPR20,reactome,
CALCB,GPR84,reactome,
CALCB,PTH1R,reactome,
CALCB,RAMP1,"HPMR,fantom5",12529937
CALCB,RAMP2,reactome,
CALCB,RAMP3,reactome,
CALCB,TSHR,reactome,
CALCB,VIPR1,reactome,
CALM1,ABCA1,fantom5,
CALM1,ADCY8,"fantom5,HPRD",
CALM1,ADCYAP1R1,"fantom5,HPRD",
CALM1,AQP6,fantom5,
CALM1,CACNA1C,fantom5,
CALM1,CALCR,"HPRD,fantom5",
CALM1,CNGA2,"HPRD,fantom5",
CALM1,CRHR1,"HPRD,fantom5",
CALM1,EGFR,"fantom5,HPRD",
CALM1,FAS,"fantom5,HPRD",
CALM1,GLP1R,"HPRD,fantom5",
CALM1,GLP2R,"fantom5,HPRD",
CALM1,GP6,fantom5,
CALM1,GRM3,"fantom5,HPRD",
CALM1,GRM4,"HPRD,fantom5",
CALM1,GRM5,"HPRD,fantom5",
CALM1,GRM7,"HPRD,fantom5",
CALM1,HMMR,"HPRD,fantom5",
CALM1,HTR2C,"fantom5,HPRD",
CALM1,INSR,"fantom5,HPRD",
CALM1,KCNN4,"HPRD,fantom5",
CALM1,KCNQ1,fantom5,
CALM1,KCNQ3,"HPRD,fantom5",
CALM1,KCNQ5,"HPRD,fantom5",
CALM1,MIP,"fantom5,HPRD",
CALM1,MYLK,"HPRD,IUPHAR,fantom5",
CALM1,MYLK2,"fantom5,IUPHAR",
CALM1,OPRM1,"HPRD,fantom5",
CALM1,PDE1A,"HPRD,fantom5,IUPHAR",
CALM1,PDE1B,"IUPHAR,fantom5",
CALM1,PDE1C,"IUPHAR,fantom5",
CALM1,PLPP6,fantom5,
CALM1,PTH2R,"HPRD,fantom5",
CALM1,PTPRA,"fantom5,HPRD",
CALM1,SCN10A,fantom5,
CALM1,SCN4A,fantom5,
CALM1,SCTR,"fantom5,HPRD",
CALM1,SELL,fantom5,
CALM1,TRPC3,"HPRD,fantom5",
CALM1,TRPC5,fantom5,15987684
CALM1,VIPR1,"fantom5,HPRD",
CALM2,ABCA1,fantom5,
CALM2,ADCY8,fantom5,
CALM2,AQP6,fantom5,
CALM2,CACNA1C,fantom5,
CALM2,EGFR,"HPRD,fantom5",
CALM2,GP6,fantom5,
CALM2,GRM5,"HPRD,fantom5",
CALM2,GRM7,"HPRD,fantom5",
CALM2,INSR,"HPRD,fantom5",
CALM2,KCNQ1,fantom5,
CALM2,KCNQ3,"HPRD,fantom5",
CALM2,KCNQ5,"HPRD,fantom5",
CALM2,MYLK,"fantom5,IUPHAR",
CALM2,MYLK2,"fantom5,IUPHAR",
CALM2,PDE1A,"IUPHAR,fantom5",
CALM2,PDE1B,"IUPHAR,fantom5",
CALM2,PDE1C,"fantom5,IUPHAR",
CALM2,PLPP6,fantom5,
CALM2,SCN10A,fantom5,
CALM2,SCN4A,fantom5,
CALM2,SELL,fantom5,
CALM2,TRPC5,fantom5,
CALM3,ABCA1,fantom5,
CALM3,ADCY8,fantom5,
CALM3,AQP6,fantom5,
CALM3,EGFR,"fantom5,HPRD",
CALM3,GP6,fantom5,
CALM3,GRM5,"HPRD,fantom5",
CALM3,GRM7,"HPRD,fantom5",
CALM3,INSR,"fantom5,HPRD",
CALM3,KCNQ1,fantom5,
CALM3,KCNQ3,"HPRD,fantom5",
CALM3,KCNQ5,"fantom5,HPRD",
CALM3,MYLK,"fantom5,IUPHAR",
CALM3,MYLK2,"IUPHAR,fantom5",
CALM3,PDE1A,"IUPHAR,fantom5",
CALM3,PDE1B,"fantom5,IUPHAR",
CALM3,PDE1C,"fantom5,IUPHAR",
CALM3,PLPP6,fantom5,
CALM3,SCN10A,fantom5,
CALM3,SCN4A,fantom5,
CALM3,SELL,fantom5,
CALM3,TRPC5,fantom5,
CALR,HLA-F,fantom5,
CALR,ITGA2B,"HPRD,fantom5",14985176
CALR,ITGA3,"fantom5,HPRD","8,006,073,113"
CALR,ITGAV,"fantom5,HPRD",12196561
CALR,LRP1,"HPRD,fantom5","14980518,13"
CALR,MTNR1A,"HPRD,fantom5",17215244
CALR,SCARF1,"fantom5,HPMR,HPRD",15371419
CALR,TSHR,"fantom5,HPRD",12383251
CAMP,EGFR,fantom5,
CAMP,FPR2,"IUPHAR,fantom5,HPMR,HPRD",11015447
CAMP,IGF1R,fantom5,
CAMP,P2RX7,fantom5,
CCK,CCKAR,"HPRD,fantom5,HPMR","103,680,331,040,067,000,000,000,000,000,000,000,000,000,000,000,000,000"
CCK,CCKBR,"HPRD,IUPHAR,fantom5,HPMR","1,036,803,310,438,490,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
CCL11,ACKR1,literature,10699158
CCL11,ACKR2,"HPRD,literature,fantom5",10699158
CCL11,ACKR4,"fantom5,HPRD",10734104
CCL11,CCR2,"IUPHAR,fantom5,HPRD","125,547,371,520,725,000,000,000"
CCL11,CCR3,"fantom5,literature,IUPHAR,HPMR,HPRD",10699158
CCL11,CCR5,"HPRD,fantom5,IUPHAR,literature",10699158
CCL11,CXCR3,"IUPHAR,fantom5",9660793
CCL13,ACKR1,literature,10699158
CCL13,ACKR2,"HPRD,literature,fantom5",10699158
CCL13,ACKR4,"fantom5,HPRD",10734104
CCL13,CCR1,"literature,IUPHAR,fantom5",10699158
CCL13,CCR2,"HPRD,HPMR,literature,IUPHAR,fantom5",10699158
CCL13,CCR3,"HPRD,HPMR,fantom5,IUPHAR,literature",10699158
CCL13,CCR5,"IUPHAR,fantom5,HPRD","9,790,730,105"
CCL13,CCR9,fantom5,
CCL13,CXCR3,"fantom5,IUPHAR",9660793
CCL14,ACKR1,literature,9405404
CCL14,ACKR2,"HPRD,fantom5",9660793
CCL14,CCR1,"HPRD,HPMR,literature,IUPHAR,fantom5",9405404
CCL14,CCR3,"HPRD,fantom5",11085751
CCL14,CCR5,"IUPHAR,fantom5,HPMR,HPRD","129,648,821,629,834,000,000,000"
CCL15,CCR1,"HPRD,fantom5,literature,IUPHAR,HPMR",10699158
CCL15,CCR3,"HPMR,fantom5,IUPHAR,literature,HPRD",10699158
CCL16,ADRA2A,reactome,
CCL16,CCR1,"HPRD,HPMR,fantom5","11470772,11"
CCL16,CCR2,"IUPHAR,fantom5,HPMR,HPRD",11470772
CCL16,CCR5,"IUPHAR,fantom5,HPRD",11470772
CCL16,CCR8,"HPRD,fantom5",10910894
CCL16,GRM7,reactome,
CCL16,HRH4,"IUPHAR,fantom5,HPRD",15265943
CCL16,MTNR1A,reactome,
CCL17,ACKR1,literature,10699158
CCL17,ACKR2,literature,10699158
CCL17,CCR4,"HPRD,HPMR,IUPHAR,literature,fantom5",10699158
CCL17,CCR8,"fantom5,literature,HPRD",10699158
CCL17,ACKR1,"HPRD,fantom5",13679391
CCL18,C14orf1,"fantom5,HPRD",16169070
CCL19,ACKR2,"HPRD,fantom5",10706668
CCL19,ACKR4,"fantom5,IUPHAR,HPRD","23341447,11"
CCL19,ADRA2A,reactome,
CCL19,CCR10,"fantom5,HPRD",10706668
CCL19,CCR7,"HPRD,HPMR,literature,IUPHAR,fantom5",10699158
CCL19,CCRL2,"IUPHAR,fantom5",20002784
CCL19,CXCR3,"fantom5,IUPHAR",9660793
CCL19,GRM7,reactome,
CCL19,MTNR1A,reactome,
CCL1,CCR8,"HPMR,fantom5,IUPHAR,literature,HPRD",10699158
CCL20,ADRA2A,reactome,
CCL20,CCR6,"literature,IUPHAR,fantom5,HPMR,HPRD",10699158
CCL20,CXCR3,"IUPHAR,fantom5",9660793
CCL20,GRM7,reactome,
CCL20,MTNR1A,reactome,
CCL21,ACKR2,"HPRD,fantom5",10706668
CCL21,ACKR4,"fantom5,IUPHAR,HPRD","23341447,11"
CCL21,ADRA2A,reactome,
CCL21,CCR7,"fantom5,literature,IUPHAR,HPMR,HPRD",10699158
CCL21,GRM7,reactome,
CCL21,MTNR1A,reactome,
CCL22,ACKR2,literature,10699158
CCL22,CCR4,"HPRD,IUPHAR,literature,fantom5,HPMR",10699158
CCL23,ACKR2,literature,10699158
CCL23,ADRA2A,reactome,
CCL23,CCR1,"HPRD,fantom5,literature,IUPHAR,HPMR",10699158
CCL23,GRM7,reactome,
CCL23,MTNR1A,reactome,
CCL24,ACKR2,literature,10699158
CCL24,CCR2,"IUPHAR,fantom5",15207250
CCL24,CCR3,"literature,IUPHAR,fantom5,HPMR,HPRD",10699158
CCL25,ACKR2,"fantom5,HPRD",10706668
CCL25,ACKR4,"HPRD,IUPHAR,fantom5","23341447,11"
CCL25,ADRA2A,reactome,
CCL25,CCR10,"fantom5,HPRD",10706668
CCL25,CCR9,"HPMR,fantom5,IUPHAR,literature,HPRD",10699158
CCL25,GRM7,reactome,
CCL25,MTNR1A,reactome,
CCL26,CCR1,"fantom5,HPRD",15039444
CCL26,CCR2,"IUPHAR,fantom5",15207250
CCL26,CCR3,"fantom5,literature,IUPHAR,HPMR,HPRD",10699158
CCL27,ACKR2,"fantom5,HPRD","118,219,001,072,569,000,000,000"
CCL27,ADRA2A,reactome,
CCL27,CCR10,"HPRD,IUPHAR,fantom5,HPMR","127,187,281,072,569,000,000,000"
CCL27,GRM7,reactome,
CCL27,MTNR1A,reactome,
CCL28,ACKR2,"HPRD,fantom5",28843907
CCL28,ADRA2A,reactome,
CCL28,CCR10,"HPMR,IUPHAR,fantom5,HPRD","10781587,11"
CCL28,CCR3,"HPRD,HPMR,fantom5,IUPHAR","12964882,11"
CCL28,GRM7,reactome,
CCL28,MTNR1A,reactome,
CCL2,ACKR1,literature,10699158
CCL2,ACKR2,"HPRD,literature,fantom5",10699158
CCL2,ACKR4,"HPRD,fantom5",10734104
CCL2,CCR1,"HPRD,fantom5,literature,HPMR",10699158
CCL2,CCR10,"fantom5,HPRD","9,364,936,107"
CCL2,CCR2,"HPMR,IUPHAR,literature,fantom5,HPRD",10699158
